"datestamp","MunicipalPcode","total.pop","idp.ratio","return.ratio"
2017-01-01,"KIW",75949.5,0.494460134694764,0.000615540589470635
2017-01-01,"TBC",390032.5,0.355242191355849,0
2017-01-01,"URD",111163.25,0.218093659550256,0.00111322761794028
2017-01-01,"IBA",391979.5,0.567610040831217,0
2017-01-01,"TOB",74536,0.547963400236128,0
2017-01-01,"KLM",602538.75,0.344789028091554,0.000200816959905068
2017-01-01,"DUL",65199.75,0.479817790712388,0
2017-01-01,"PGB",24961.75,0.0321692189049245,0
2017-01-01,"CDY",316841.25,0.416629779108623,0.000329818166037408
2017-01-01,"TLS",24942.5,0,0
2017-01-01,"ANT",135115.75,0.416318970956384,0
2017-01-01,"TGL",140085,0.53698468786808,0
2017-01-01,"KOL",1289433.75,0.723115476076223,0
2017-01-01,"MIN",358542.25,0.528505357457873,0
2017-01-01,"CAI",76769,0.381573291302479,0
2017-01-01,"MSA",173893.5,0.432346522440459,0
2017-01-01,"KAR",138506.5,0.376960648056228,0
2017-01-01,"BAR",205559.75,0.214049686283429,0.00651513732625186
2017-01-01,"KIN",134543.75,0.678283086356668,0
2017-01-01,"SIR",198033,0.350983169471755,0
2017-01-01,"BAN",148626.5,0.533193945897939,0
2017-01-01,"IGN",342391.5,0.232711676545709,0
2017-01-01,"SDG",230769,0.325372992039659,0.000107250107250107
2017-01-01,"MTI",102275.25,0.25390551477508,0
2017-01-01,"HNG",682297,0.421526109597433,0.000350653747561546
2017-01-01,"TIA",114265.25,0.0849799042140983,0.000962672378522779
2017-01-01,"SPB",109001.75,0.100461689835255,0.00855261498095214
2017-01-01,"LIG",50102.25,0.185849936879082,0.00203084691805258
2017-01-01,"SAG",15466,0.0284495021337127,0
2017-01-01,"NAL",107200.5,0.272484736545072,0.000282181519675748
2017-01-01,"DPG",57048.75,0.574307061942637,0.00621836587129429
2017-01-01,"MEX",680003.5,0.261572183084352,0.000234557616247563
2017-01-01,"SAR",77497.75,0.00149036584933111,0.000390333912920053
2017-01-01,"NAB",136765.75,0.392073673416042,0.000784187561578831
2017-01-01,"LUE",71546.75,0.057231809970404,0.000422800476611446
2017-01-01,"HNB",231715,0.0950629005459293,0.00440303821504866
2017-01-01,"LEG",72528.5,0.0791688784408888,0.00106165162660196
2017-01-01,"VIC",74258.25,0.0309595230159612,0
2017-01-01,"NAC",173767,0.170443755143382,0.00104450212065582
2017-01-01,"VTO",87188.75,0.0979971613310203,0.000662356095253115
2017-01-01,"BOR",423329.5,0.401005599657005,0.00790578024919123
2017-01-01,"LPO",294214.25,0.341686373110752,0.000364530270032808
2017-01-01,"BNG",115706.25,0.120451574569222,0.00161616161616162
2017-01-01,"NOR",15507.25,0,0.0310338712537684
2017-01-01,"TGD",200722.5,0,0.00287710645293876
2017-01-01,"BCT",46464,0.131747159090909,0.104166666666667
2017-01-01,"PPP",122427.25,0.260630292684023,0
2017-01-01,"TTO",129448,0,0.00743541808293678
2017-01-01,"DIN",361787.25,0.575855699724078,0
2017-01-01,"HIL",31809.25,0,0
2017-01-01,"SAI",10617.75,0.327376327376327,0
2017-01-01,"ARY",51631.25,0,0.0385619174434088
2017-01-01,"TOO",141396.75,0.238928758970768,0.0012836221483167
2017-01-01,"BSO",62892.5,0,0.0236117184083953
2017-01-01,"BUR",781057.75,0.245020614672859,0
2017-01-01,"PPB",13626.25,0.0110998990918264,0
2017-01-01,"LAB",48515.5,0.119714318104523,0
2017-01-01,"PNB",51042.75,0.0873336565917785,0
2017-01-01,"BCL",117067.5,0.291402396053559,0
2017-01-01,"PMT",37015,0.0791233283803863,0
2017-01-01,"TGW",53845,0.0840143003064351,0
2017-01-01,"CDB",274315.25,0.185120951168409,0
2017-01-01,"XSO",34223.75,0.0855765367617517,0
2017-01-01,"BMN",23691.25,0.134648868253047,0
2017-01-01,"TGT",181876.75,0.23393864251478,0
2017-01-01,"PDC",55225.5,0.374564286425655,0
2017-01-01,"CUR",19607.5,0.110098176718093,0
2017-01-01,"ZAM",19929.25,0.107906720022078,0
2017-01-01,"AOO",56333.75,0.128630705394191,0
2017-01-01,"SIY",52393,0.0798866260760025,0
2017-01-01,"DIC",124792.25,0.270609753410168,0
2017-01-01,"PAG",25201,0.0839153208206024,0
2017-01-01,"MSB",22393.25,0.0884195014122559,0
2017-01-01,"KAS",40620.25,0.130796831629544,0
2017-01-01,"VTL",94622,0.265490583585213,0
2017-01-01,"CGP",54359.25,0.152628117569687,0
2017-01-01,"SMA",43287.75,0.177561781335366,0
2017-01-01,"BLU",51590,0.118869936034115,0
2017-01-01,"SJI",65285,0.159435551811289,0
2017-01-01,"KUM",30833,0.0849090260435248,0
2017-01-01,"CLM",23485,0.116510538641686,0
2017-01-01,"TON",864250.75,0.208318881991135,0.0018105277895333
2017-01-01,"GUN",69055.25,0.0775755644936482,0.000597347775875115
2017-01-01,"UPT",144391.5,0.275644688226107,0
2017-01-01,"DAR",33266.75,0,0.00537323303298338
2017-01-01,"LOB",86553.5,0.0367922729872276,0
2017-01-01,"LEY",73438.75,0.1515821007302,0.000748923422580041
2017-01-01,"ALB",156092.75,0.34594175578302,8.80886524197953e-05
2017-01-01,"TAL",207352.75,0.234240925186669,0
2017-01-01,"FLB",119435.25,0.185835002647878,0.000115125141028298
2017-01-01,"ANG",100600.5,0.0485211306106828,0.00246022634082336
2017-01-01,"LTB",523820,0.211292524149517,0.00380617387652247
2017-01-01,"BAY",115368,0.181683829138063,0.00905797101449275
2017-01-01,"PTR",123431,0.0343329471526602,0.0487924427412887
2017-01-01,"MAN",107758.75,0.00854918974097231,0.0094423886691336
2017-01-01,"HIM",106045.5,0.0359421191846896,0.0189305533945335
2017-01-01,"SMR",303143.5,0.173349420324038,0.027849846689769
2017-01-01,"IRN",75955,0.129217958001448,0.0144822592324403
2017-01-01,"SSI",106777,0.153239929947461,0.0540846811579273
2017-01-01,"TLD",347355.25,0.0342487986002803,0.00839198486275938
2017-01-01,"PGA",30068.5,0.0323760746295958,0.0118895189317725
2017-01-01,"LUB",149182,0.126953989087155,0.00866391387700929
2017-01-01,"PGS",170747.5,0.093283942663875,0.014060235142535
2017-01-01,"POR",99451,0.0453213140139365,0.00414777126424068
2017-01-01,"MLB",130240,0.0297719594594595,0.011402027027027
2017-01-01,"SOR",183942,0.0446716899892357,0.0069519196268389
2017-01-01,"TAS",95191.25,0.00736674851942799,0.0736674851942799
2017-01-01,"TLG",66638,0.0337157477715418,0.00701551667216903
2017-01-01,"PAN",513595.5,0.262981762885384,0
2017-01-01,"CDO",56078,0.104305610043154,0.00514907806983131
2017-01-01,"OTP",36528.25,0.0143792817887525,0.00301136791387488
2017-01-01,"OZC",74882.5,0.0986779287550496,0
2017-01-01,"GAP",30857.75,0.153016665181356,0.0044559308439533
2017-01-01,"TBU",13070.75,0.0568062276456975,0.00420786871449611
2017-01-01,"TIW",17690.75,0.0701072594434945,0.00621793875330328
2017-01-01,"CAV",36330.25,0.0451896147150102,0.00151388994020135
2017-01-01,"SAE",104590.75,0.262640338653275,0.000525859122341125
2017-01-01,"SPO",55761.75,0.129604971149578,0.00295901760615476
2017-01-01,"MLL",34196.25,0.105428226779252,0.0120627261761158
2017-01-01,"ABU",39014.25,0.0290406710368647,0.0035243532811729
2017-01-01,"TUI",16626.5,0.168541184254052,0.0818723122725769
2017-01-01,"SAM",167521.75,0.0312063955874386,0.0124759919234368
2017-01-01,"MLO",74835.75,0.134531290192188,0.0128615000183736
2017-01-01,"ROM",7136.25,0.149518304431599,0.0192678227360308
2017-02-01,"MNL",5069974.25,0.335563538611661,0.000108481813295206
2017-02-01,"CHO",4460909.75,0.131820196541748,0.00699627469486465
2017-02-01,"IND",656691.75,0.428648601113079,6.28148594831593e-05
2017-02-01,"STO",11063.25,0.00497141436738752,0.00869997514292816
2017-02-01,"TZA",61289.25,0.262619464261677,0.0253511015390138
2017-02-01,"MNU",337826.5,0.34360907152044,0.000407013659378409
2017-02-01,"VIL",241865.25,0.346431535741492,0.0144398585576059
2017-02-01,"SIL",21978,0.0676926926926927,0.00550550550550551
2017-02-01,"NAN",315199.5,0.311495576611004,0.000610724319042384
2017-02-01,"STF",39314,0.00888360380526021,0
2017-02-01,"NAI",22500.5,0,0
2017-02-01,"GTR",54947.75,0.15825033782093,0
2017-02-01,"NOV",25940.75,0,0
2017-02-01,"MIC",33984.5,0,0
2017-02-01,"DAS",102973.75,0.204860462010949,0
2017-02-01,"TAC",263785.5,0.234367506932716,0
2017-02-01,"MRA",20938.5,0.232072498029945,0
2017-02-01,"TEN",75809.25,0.352160191533355,0.000761780389596256
2017-02-01,"MAU",59631,0.0715735104224313,0
2017-02-01,"PLW",48026,0.490265689418232,0.0302336234539624
2017-02-01,"PIL",26015,0.11014799154334,0
2017-02-01,"GUA",48067.25,0.124892728416957,0
2017-02-01,"KWT",617377.75,0.736428790963069,0
2017-02-01,"AMA",217021.75,0.394414384733327,0.000646248590291065
2017-02-01,"TAR",103116.75,0.723097847827826,0
2017-02-01,"MBC",81466,0.223534971644612,0
2017-02-01,"MTN",133540,0.292339373970346,0
2017-02-01,"PLL",185017.25,0.482854977035925,0
2017-02-01,"MNI",753016,0.191688822017062,0
2017-02-01,"SUT",163311.5,0.101471727343145,0
2017-02-01,"CAR",210267.75,0.0412236303474974,0
2017-02-01,"MTP",62364.5,0,0
2017-02-01,"BOO",251938.5,0.0185233697906434,0.000654921736852446
2017-02-01,"CGI",44409.75,0.00470617375688897,0
2017-02-01,"ODI",108647,0.015946137491141,0.0131365799331781
2017-02-01,"IMU",103254.25,0.0205342637228008,0.00199749647108957
2017-02-01,"KLR",165,0,0
2017-02-01,"APN",5293.75,0,0
2017-02-01,"TAT",836,0,0
2017-02-01,"BAC",183540.5,0.321057205357946,0
2017-02-01,"RSO",57282.5,0.232645223235718,0
2017-02-01,"STT",407833.25,0.404921006318146,0
2017-02-01,"CLT",840232.25,0.109311740890688,0
2017-02-01,"SJ2",1642957.25,0.508301265903297,0
2017-02-01,"TAA",20996.25,0,0
2017-02-01,"STS",103787.75,0.22657057311677,0.000662409581092181
2017-02-01,"BLY",53828.5,0.10611014611219,0.0134872790436293
2017-02-01,"CLG",970626.25,0.305886019464238,0
2017-02-01,"LBA",195236.25,0.114148883724206,0.00443693217832242
2017-02-01,"PGC",468190.25,0.428314664818415,7.04841674938767e-05
2017-02-01,"GUM",139796.25,1,0
2017-02-01,"LAU",89141.25,0.343390405676384,0
2017-02-01,"ALM",33852.5,0.126726238830219,0.0662063363119415
2017-02-01,"MLV",213273.5,0.540578177785801,0
2017-02-01,"NUG",48603.5,0.0225755346837162,0
2017-02-01,"AGO",133141.25,0.0759268821646184,0
2017-02-01,"STA",79967.25,0.0235909075277692,0
2017-02-01,"TNA",35321,0.00272500778573653,0
2017-02-01,"CPC",80817,0.123451749013203,0
2017-02-01,"BTG",708273.5,0.799214921919287,0
2017-02-01,"PAR",34017.5,0.0141471301535974,0
2017-02-01,"CRA",27428.5,0.0130338881090836,0
2017-02-01,"QPT",94352.5,0.441212474497231,0.00320606237248616
2017-02-01,"LBO",16098.5,0.0696959344038264,0.00512470105910489
2017-02-01,"ALI",149748.5,0.433723877033827,0.00110184743085907
2017-02-01,"IBN",124297.25,0.266045708975862,0
2017-02-01,"BAU",82420.25,0.397851256214341,0.00106769877548297
2017-02-01,"LEM",46219.25,0.167846730528946,0.00136847742012257
2017-02-01,"LIP",75779,0.471222238350994,0.000435476847147627
2017-02-01,"SAY",87043,0.0918109440161759,0.000379122962214078
2017-02-01,"MCB",41753.25,0.00599354541263255,0.00111967331884344
2017-02-01,"APA",835450,0.499601711652403,7.24160631994733e-05
2017-02-01,"CUE",20212.5,0.0100680272108844,0
2017-02-01,"NHV",190113,0.138040270786322,0.000723254064687844
2017-02-01,"TUY",103031.5,0.0569583088667058,0.00146799765120376
2017-02-01,"AQE",133303.5,0.489685192061724,0
2017-02-01,"MTK",0,NA,NA
