"distance","MunicipalPcode.A","MunicipalPcode.B"
156965.374694126,"MNL","DPL"
163853.832583558,"MNL","SNO"
193145.085762484,"MNL","BOA"
205798.867515112,"MNL","ORL"
204607.677887962,"MNL","AMU"
231984.94942574,"MNL","KAL"
235142.530028079,"MNL","CNN"
252799.093135297,"MNL","ROD"
241476.457394746,"MNL","SLM"
253834.352060272,"MNL","LUN"
264452.778871819,"MNL","GGM"
224258.504710531,"MNL","BIN"
206191.311115966,"MNL","BTC"
203734.553589059,"MNL","SC2"
196259.352233758,"MNL","MEY"
209638.238389775,"MNL","AGT"
194561.452589902,"MNL","PSL"
200879.647566603,"MNL","LAO"
232039.77582125,"MNL","BLC"
234369.43718372,"MNL","VZA"
226969.081807635,"MNL","VIG"
244216.449736684,"MNL","CND"
224924.633695402,"MNL","LAC"
214613.501417426,"MNL","4BA"
207663.191905001,"MNL","BUN"
220546.201214765,"MNL","BMB"
220149.922597256,"MNL","CBT"
267853.598874164,"MNL","ARI"
257577.210803849,"MNL","TNY"
276253.15087572,"MNL","KIW"
262113.163308714,"MNL","TBC"
281673.811011601,"MNL","URD"
283292.998312248,"MNL","IBA"
268970.35986458,"MNL","TOB"
241695.83497122,"MNL","KLM"
216795.011556746,"MNL","DUL"
238153.875606997,"MNL","PGB"
230156.161529496,"MNL","CDY"
222989.288049211,"MNL","TLS"
226439.059387045,"MNL","ANT"
298527.359079997,"MNL","TGL"
304511.61626678,"MNL","KOL"
291325.991588494,"MNL","MIN"
289400.530921077,"MNL","CAI"
294902.472705098,"MNL","MSA"
278416.316713427,"MNL","KAR"
255007.038819284,"MNL","BAR"
258062.400945054,"MNL","KIN"
272475.56934313,"MNL","SIR"
266899.546829903,"MNL","BAN"
255658.446802891,"MNL","IGN"
243818.583212029,"MNL","SDG"
251791.009729948,"MNL","MTI"
515519.408398721,"MNL","HNG"
503502.005531241,"MNL","TIA"
495130.631386068,"MNL","SPB"
504635.580426502,"MNL","LIG"
559108.583426406,"MNL","SAG"
477927.094672489,"MNL","NAL"
545508.134601791,"MNL","DPG"
589309.693391082,"MNL","MEX"
590158.920668675,"MNL","SAR"
568442.930217743,"MNL","NAB"
611951.105746009,"MNL","LUE"
663636.53608921,"MNL","HNB"
634849.090042607,"MNL","LEG"
629368.970137706,"MNL","VIC"
482113.699899796,"MNL","NAC"
543866.255967343,"MNL","VTO"
384304.136683947,"MNL","BOR"
431627.18856134,"MNL","LPO"
445379.003258612,"MNL","BNG"
383285.72826883,"MNL","NOR"
390617.447993375,"MNL","TGD"
419922.53596203,"MNL","BCT"
473848.119066291,"MNL","PPP"
391698.817165072,"MNL","TTO"
459546.272242623,"MNL","DIN"
420155.765236604,"MNL","HIL"
450723.066556937,"MNL","SAI"
388216.617514434,"MNL","ARY"
447396.174253472,"MNL","TOO"
406451.116547213,"MNL","BSO"
155495.001959168,"MNL","BUR"
153635.526391486,"MNL","PPB"
133863.100732344,"MNL","LAB"
144892.171784557,"MNL","PNB"
166701.202384011,"MNL","BCL"
128665.200107016,"MNL","PMT"
136578.060664147,"MNL","TGW"
184703.884984247,"MNL","CDB"
175840.427935224,"MNL","XSO"
182798.549132958,"MNL","BMN"
145537.479904702,"MNL","TGT"
149633.307035355,"MNL","PDC"
144254.884512243,"MNL","CUR"
154613.09292625,"MNL","ZAM"
138062.742919824,"MNL","AOO"
148802.786005316,"MNL","SIY"
155456.058091511,"MNL","DIC"
159452.53863651,"MNL","PAG"
154958.014883755,"MNL","MSB"
159444.891592284,"MNL","KAS"
165843.479746035,"MNL","VTL"
169650.039584347,"MNL","CGP"
172594.754850146,"MNL","SMA"
188128.160214117,"MNL","BLU"
176737.140209281,"MNL","SJI"
174672.914093257,"MNL","KUM"
182681.382784153,"MNL","CLM"
376251.876241129,"MNL","TON"
358995.568304454,"MNL","GUN"
400348.501333333,"MNL","UPT"
390552.252087094,"MNL","DAR"
419216.363680414,"MNL","LOB"
433701.676309861,"MNL","LEY"
398372.739254746,"MNL","ALB"
330607.089386161,"MNL","TAL"
317258.487148587,"MNL","FLB"
341171.075324204,"MNL","ANG"
101676.880421426,"MNL","LTB"
116251.893208681,"MNL","BAY"
89630.5075439387,"MNL","PTR"
